variable_id,concept_id,raw_concept,exposure,outcome,covariate,data_type,start_look_back,end_look_back,date_extraction_func,Matching,variable_description
SV_AGE,PP_AGE,D3,FALSE,FALSE,TRUE,INT,-54750.5,0,LATEST,FALSE,Age
SV_SEX,PP_SEX,D3,FALSE,FALSE,TRUE,BOOL,-54750,0,LATEST,TRUE,Sex
VACC_DATE,NA,D3,FALSE,FALSE,TRUE,FACTOR,0,0,LATEST,TRUE,Date of vaccination
SV_PREG_TRIMESTER,PP_PREG_TRIMESTRE,D3 Pregnancy,FALSE,FALSE,TRUE,FACTOR,-3652.5,0,LATEST,FALSE,Pregnancy status trimester
SV_REGION,PP_REGION,dap_specific_concept,FALSE,FALSE,TRUE,CHAR,0,0,LATEST,TRUE,Geographic region
SV_SES_STATUS,PP_SES_STATUS,dap_specific_concept,FALSE,FALSE,TRUE,CHAR,0,0,LATEST,TRUE,Socioeconomic status/education level
SV_AGE_CAT,PP_AGE_CAT,pre-processed,FALSE,FALSE,TRUE,FACTOR,0,0,LATEST,FALSE,Age categories
SV_PREG_STATUS,PP_PREG_STATUS,D3,FALSE,FALSE,TRUE,BOOL,0,0,LATEST,TRUE,Pregnancy status 
SV_PRIOR_COVID_DG,PP_HISTCOVID,pre-processed,FALSE,FALSE,TRUE,BOOL,-1825,0,LATEST,TRUE,COVID-19 History: Previous diagnosis of COVID-19
SV_PRIOR_COVID_POSTEST,PP_COVID19_POSTEST,pre-processed,FALSE,FALSE,TRUE,BOOL,-1825,0,LATEST,FALSE,COVID-19: Previous positive test results for COVID-19
SV_BRAND_COVID_VACC,PP_BRAND_COVID_VACC,dap_specific_concept,FALSE,FALSE,TRUE,CHAR,0,0,LATEST,TRUE,Brand of last COVID-19 vaccine received
SV_HIST_COVID_VACC,PP_HIST_COVID_VACC,dap_specific_concept,FALSE,FALSE,TRUE,CHAR,0,0,LATEST,TRUE,History of COVID-19 vaccination
SV_IMMUNOCOMPROMISED,PP_IMMUNOCOMPROMISED,pre-processed,FALSE,FALSE,TRUE,BOOL,-3652.5,0,LATEST,TRUE,Inmunocompromised
CDC_RISK,PP_CDC_RISK,pre-processed,FALSE,FALSE,TRUE,FACTOR,-3652.5,0,LATEST,TRUE,Number of pre-existing conditions considered by CDC
SV_SMOKING_STATUS,PP_SMOKING_CAT,pre-processed,FALSE,FALSE,TRUE,FACTOR,-1095.75,0,LATEST,FALSE,Personal Life characteristics: Smoking status
SV_BMI_3YEARS,BMI_CAT,pre-processed,FALSE,FALSE,TRUE,FACTOR,-1095.75,0,LATEST,FALSE,"""Personal Life characteristics: Body Mass Index"""
SV_OBESITY,L_OBESITY_COV,concept codelist,FALSE,FALSE,TRUE,BOOL,-1095.75,0,LATEST,FALSE,Personal Life characteristics: Obesity diagnosis or obesity surgery
COD_GBSYNDROME,N_GBS_AESI,concept codelist,FALSE,FALSE,TRUE,BOOL,-365.25,0,LATEST,FALSE,History  of Guillain-Barre syndrome (Val) 
COD_ACUTE_ENCEPHALOMYELITIS,N_ADEM_AESI,concept codelist,FALSE,FALSE,TRUE,BOOL,-365.25,0,LATEST,FALSE,History of Acute disseminated encephalomyelitis
COD_NARCOLEPSY,N_NARCOLEPSY_AESI,concept codelist,FALSE,FALSE,TRUE,BOOL,-365.25,0,LATEST,FALSE,History of Narcolepsy (Val)
COD_ACUTE_ASEPTIC_ARTHRITIS,M_ARTASEPTIC_AESI,concept codelist,FALSE,FALSE,TRUE,BOOL,-365.25,0,LATEST,FALSE,History of Acute aseptic arthritis
COD_DM1,E_DM1_AESI,concept codelist,FALSE,FALSE,TRUE,BOOL,-365000.25,0,LATEST,FALSE,History of Diabetes mellitus type I
COD_ITC,B_ITP_AESI,concept codelist,FALSE,FALSE,TRUE,BOOL,-365.25,0,LATEST,FALSE,History of (Idiopathic) thrombocytopenia (Val)
COD_TTS,PP_TTS,concept codelist,FALSE,FALSE,TRUE,BOOL,-365.25,0,LATEST,FALSE,History of Thrombosis thrombocytopenia syndrome (Val) 
COD_MYOSITIS,M_MYOSITIS_AESI,concept codelist,FALSE,FALSE,TRUE,BOOL,-365.25,0,LATEST,FALSE,History of Myositis
COD_ACUTE_CV_INJURY,PP_ACI,concept codelist,FALSE,FALSE,TRUE,BOOL,-365.25,0,LATEST,FALSE,History of Acute cardiovascular injury
COD_ARRHYTHMIA,C_ARRH_AESI,concept codelist,FALSE,FALSE,TRUE,BOOL,-365.25,0,LATEST,FALSE,History of Arrhythmia
COD_HF,C_HF_AESI,concept codelist,FALSE,FALSE,TRUE,BOOL,-365.25,0,LATEST,FALSE,History of Heart failure
COD_STRESS_CARDIOMYOPATHY,C_CMSTRESS_AESI,concept codelist,FALSE,FALSE,TRUE,BOOL,-365.25,0,LATEST,FALSE,History of Stress cardiomyopathy
COD_CAD,C_CAD_AESI,concept codelist,FALSE,FALSE,TRUE,BOOL,-365.25,0,LATEST,FALSE,History of Coronary artery disease
COD_MYOCARDITIS,C_MYOCARD_AESI,concept codelist,FALSE,FALSE,TRUE,BOOL,-365.25,0,LATEST,FALSE,History of Myocarditis (Val)
COD_PERICARDITIS,C_PERICARD_AESI,concept codelist,FALSE,FALSE,TRUE,BOOL,-365.25,0,LATEST,FALSE,History of Pericarditis (Val)
